Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAU,Almaden Minerals Ltd. Common Shares,$0.297,-0.006,-1.98%,40754758.00,Canada,2015,99903,,
ACU,Acme United Corporation. Common Stock,$34.40,0.28,0.821%,122453233.00,United States,1988,504,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$6.08,-0.34,-5.296%,134271054.00,United States,,11345,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.81,0.00,0.00%,141018750.00,United States,2021,10,,
AE,Adams Resources & Energy Inc. Common Stock,$30.27,-0.11,-0.362%,131825880.00,United States,,1028,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$7.74,0.06,0.781%,392818762.00,United States,,6797,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.8085,-0.0251,-3.011%,30673824.00,,2018,9958,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.7903,-0.0138,-1.716%,31367016.00,United States,,35849,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$17.53,0.07,0.401%,52987405.00,United States,2014,2260,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$0.85,-0.01,-1.163%,27308805.00,United States,,14588,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.7777,0.0077,1.00%,18074010.00,China,,170639,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.4804,-0.0096,-1.959%,109113101.00,United States,,582135,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.29,0.04,1.778%,13437720.00,United States,,7019,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.62,-0.06,-1.282%,61133646.00,Canada,,20512,,
